Mã đơn đặt hàng,Số đơn hàng 1688,Kho nhận hàng,Hình ảnh sản phẩm,Mã SKU,Tiêu đề,Link hình ảnh,Cân nặng(g),Kích thước (cm),Đơn giá,Số lượng đặt,Số tiền,Chi phí phân bổ cho từng SKU,Giá vốn nhập kho,Số lượng đã nhận,Số tiền nhận hàng đã đặt,Tiền tệ,Tổng số lượng,Phí vận chuyển,Phí khác,Phí thuế,Phí chặng đầu,Phương thức thanh toán,Tổng số tiền,Nhà cung cấp,Người liên hệ,Số điện thoại,Người tạo,Người đặt hàng,Phương thức vận chuyển,Mã vận đơn,Ngày hàng đến dự kiến,Thời gian gửi,Thời gian giao hàng,Thời gian nhận hàng,Thời gian tạo,Thời gian đặt đơn của nền tảng,Ghi chú,Trạng thái
POWTB4049596,,VIE GROUP HCM,,2567,VASELINE Sữa Dưỡng Thể Healthy Bright Gluta-Hya Body Tone-Up UV Lotion 300ml,https://res.bigseller.pro/sku/images/merchantsku/944484/318533_1754365818082.jpg?imageView2/1/w/300/h/300,0.0,0*0*0,112000.0,24,2688000.0,381.944444,112381.944444,24,2688000.0,VND,144,55000.0,0.0,0.0,0.0,Trả sau,5749000.0,KHOA TRẦN ( AHH),,,Bắc,THANH NGÂN SGN,,,,01/08/2026 14:29,01/08/2026 14:29,01/08/2026 14:29,31/07/2026 06:49,,✅ Chị Kim + Ngân,Đã hoàn thành
POWTB4049596,,VIE GROUP HCM,,1766,HATOMUGI Sữa Rửa Mặt Reihaku Hatomugi Facial Foam 170g,https://res.bigseller.pro/sku/images/merchantsku/944484/960687_1754364218292.jpg?imageView2/1/w/300/h/300,0.0,0*0*0,38000.0,18,684000.0,381.944444,38381.944444,18,684000.0,VND,144,55000.0,0.0,0.0,0.0,Trả sau,5749000.0,KHOA TRẦN ( AHH),,,Bắc,THANH NGÂN SGN,,,,01/08/2026 14:29,01/08/2026 14:29,01/08/2026 14:29,31/07/2026 06:49,,✅ Chị Kim + Ngân,Đã hoàn thành
POWTB4049596,,VIE GROUP HCM,,1182,BALANCE Serum Active Formula Vitamin C Brightening Serum Glow & Radiance - 30ml,https://res.bigseller.pro/sku/images/merchantsku/944484/371713_1754366216199.jpg?imageView2/1/w/300/h/300,0.0,0*0*0,102000.0,12,1224000.0,381.944444,102381.944444,12,1224000.0,VND,144,55000.0,0.0,0.0,0.0,Trả sau,5749000.0,KHOA TRẦN ( AHH),,,Bắc,THANH NGÂN SGN,,,,01/08/2026 14:29,01/08/2026 14:29,01/08/2026 14:29,31/07/2026 06:49,,✅ Chị Kim + Ngân,Đã hoàn thành
POWTB4049596,,VIE GROUP HCM,,1188,"BANOBAGI Mặt Nạ Stem Cell Vitamin Mask Whitening 30g - Moisture, XANH DƯƠNG",https://res.bigseller.pro/sku/images/merchantsku/944484/499639_1754365908173.jpg?imageView2/1/w/300/h/300,0.0,0*0*0,12200.0,40,488000.0,381.944444,12581.944444,40,488000.0,VND,144,55000.0,0.0,0.0,0.0,Trả sau,5749000.0,KHOA TRẦN ( AHH),,,Bắc,THANH NGÂN SGN,,,,01/08/2026 14:29,01/08/2026 14:29,01/08/2026 14:29,31/07/2026 06:49,,✅ Chị Kim + Ngân,Đã hoàn thành
POWTB4049596,,VIE GROUP HCM,,1187,"BANOBAGI Mặt Nạ Stem Cell Vitamin Mask Whitening 30g - Lifting, TÍM",https://res.bigseller.pro/sku/images/merchantsku/944484/645734_1754366311839.jpg?imageView2/1/w/300/h/300,0.0,0*0*0,12200.0,20,244000.0,381.944444,12581.944444,20,244000.0,VND,144,55000.0,0.0,0.0,0.0,Trả sau,5749000.0,KHOA TRẦN ( AHH),,,Bắc,THANH NGÂN SGN,,,,01/08/2026 14:29,01/08/2026 14:29,01/08/2026 14:29,31/07/2026 06:49,,✅ Chị Kim + Ngân,Đã hoàn thành
POWTB4049596,,VIE GROUP HCM,,1183,"BANOBAGI Mặt Nạ Stem Cell Vitamin Mask Whitening 30g - AC Care, HỒNG NHẠT",https://res.bigseller.pro/sku/images/merchantsku/944484/360882_1754365816582.jpg?imageView2/1/w/300/h/300,0.0,0*0*0,12200.0,30,366000.0,381.944444,12581.944444,30,366000.0,VND,144,55000.0,0.0,0.0,0.0,Trả sau,5749000.0,KHOA TRẦN ( AHH),,,Bắc,THANH NGÂN SGN,,,,01/08/2026 14:29,01/08/2026 14:29,01/08/2026 14:29,31/07/2026 06:49,,✅ Chị Kim + Ngân,Đã hoàn thành
POWTB4049598,,VIE GROUP HCM,,1689,FORENCOS Kem Dưỡng Da Hàn Quốc 10ml - Trắng,https://res.bigseller.pro/sku/images/merchantsku/944484/198148_1754366313695.jpg?imageView2/1/w/300/h/300,0.0,0*0*0,85000.0,10,850000.0,367.346939,85367.346939,10,850000.0,VND,98,36000.0,0.0,0.0,0.0,Trả sau,3992000.0,CHARM BEAUTY ( KỲ KIM ),,,Bắc,THANH NGÂN SGN,,,,01/08/2026 12:41,01/08/2026 12:41,01/08/2026 12:41,31/07/2026 07:03,,✅ Ngân,Đã hoàn thành
POWTB4049598,,VIE GROUP HCM,,1610,DR.PEPTI Tẩy Da Chết Herb Natural Peeling Gel 130ml,https://res.bigseller.pro/sku/images/merchantsku/944484/817147_1755015056776.jpg?imageView2/1/w/300/h/300,0.0,0*0*0,138000.0,5,690000.0,367.346939,138367.346939,5,690000.0,VND,98,36000.0,0.0,0.0,0.0,Trả sau,3992000.0,CHARM BEAUTY ( KỲ KIM ),,,Bắc,THANH NGÂN SGN,,,,01/08/2026 12:41,01/08/2026 12:41,01/08/2026 12:41,31/07/2026 07:03,,✅ Ngân,Đã hoàn thành
POWTB4049598,,VIE GROUP HCM,,2250,OLEXRS Kem Ủ Tóc Collagen Complex Repair Mask 500ml,https://res.bigseller.pro/sku/images/merchantsku/944484/937619_1754366310086.jpg?imageView2/1/w/300/h/300,0.0,0*0*0,121000.0,3,363000.0,367.346939,121367.346939,3,363000.0,VND,98,36000.0,0.0,0.0,0.0,Trả sau,3992000.0,CHARM BEAUTY ( KỲ KIM ),,,Bắc,THANH NGÂN SGN,,,,01/08/2026 12:41,01/08/2026 12:41,01/08/2026 12:41,31/07/2026 07:03,,✅ Ngân,Đã hoàn thành
POWTB4049598,,VIE GROUP HCM,,2415,SUR-MEDIC+ Mặt nạ Super Calm Repairing Mask 30g,https://res.bigseller.pro/sku/images/merchantsku/944484/966371_1754365813041.jpg?imageView2/1/w/300/h/300,0.0,0*0*0,19500.0,30,585000.0,367.346939,19867.346939,30,585000.0,VND,98,36000.0,0.0,0.0,0.0,Trả sau,3992000.0,CHARM BEAUTY ( KỲ KIM ),,,Bắc,THANH NGÂN SGN,,,,01/08/2026 12:41,01/08/2026 12:41,01/08/2026 12:41,31/07/2026 07:03,,✅ Ngân,Đã hoàn thành
POWTB4049598,,VIE GROUP HCM,,2622,WONJIN Mặt Nạ Effect Mask Lẻ 1 Miếng – Vàng,https://res.bigseller.pro/sku/images/merchantsku/944484/341001_1755015212603.jpg?imageView2/1/w/300/h/300,0.0,0*0*0,19600.0,30,588000.0,367.346939,19967.346939,30,588000.0,VND,98,36000.0,0.0,0.0,0.0,Trả sau,3992000.0,CHARM BEAUTY ( KỲ KIM ),,,Bắc,THANH NGÂN SGN,,,,01/08/2026 12:41,01/08/2026 12:41,01/08/2026 12:41,31/07/2026 07:03,,✅ Ngân,Đã hoàn thành
POWTB4049598,,VIE GROUP HCM,,2077,MEDIANSWER Mặt nạ thạch tươi cấp ẩm  - Tím Lẻ 1 mask,https://res.bigseller.pro/sku/images/merchantsku/944484/475114_1754365712483.jpg?imageView2/1/w/300/h/300,0.0,0*0*0,44000.0,10,440000.0,367.346939,44367.346939,10,440000.0,VND,98,36000.0,0.0,0.0,0.0,Trả sau,3992000.0,CHARM BEAUTY ( KỲ KIM ),,,Bắc,THANH NGÂN SGN,,,,01/08/2026 12:41,01/08/2026 12:41,01/08/2026 12:41,31/07/2026 07:03,,✅ Ngân,Đã hoàn thành
