Mã SKU;Tên;Thuộc tính phân loại;Danh mục;Xuất kho / Bán hàng;Lợi nhuận gộp hàng hóa đã giao;Tỷ suất Lợi nhuận gộp hàng hóa đã giao;Lượng bán xuất kho trung bình hàng ngày;Tồn kho khả dụng;Số ngày có thể bán;Đang vận tải;Cảnh báo tồn kho;Thời gian tạo;Link hình ảnh
Tất cả;--;--;--;24535;260111902.54;0.2173;24.54;--;--;411;--;--;--
2026;LRP Sữa Rửa Mặt Effaclar Purifying Foaming Gel - 50ml;;Chưa chọn danh mục;4588;71520654.19;0.3906;458.8;1935;4;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/579270_1754366214381.jpg?imageView2/1/w/300/h/300
1943;LAMEILA Bông tẩy trang 222 miếng - Vàng FM;;Chưa chọn danh mục;3588;4208912.26;0.0911;358.8;480;1;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/321755_1754366310173.jpg?imageView2/1/w/300/h/300
1915;KYUNG LAB Mặt Nạ Dưỡng Ẩm, Phục Hồi Da Kyung Lab PDRN Therapy Mask 23ml;;Chưa chọn danh mục;2455;1855740.5;0.08839999999999999;245.5;6131;24;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/085574_1754365904177.jpg?imageView2/1/w/300/h/300
1350;CERAVE Sữa Rửa Mặt Foaming Cleanser - 30ml FRANCE;;Chưa chọn danh mục;1636;22535153.7;0.48460000000000003;163.6;4471;27;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/634847_1785651928354.jpg?imageView2/1/w/300/h/300
1127;Aspasia - Xịt Khoáng Aspasia Moist Up Face Mist Aloe Làm Dịu Mát Bổ Sung Độ Ẩm Cho Làn Da Rạng Rỡ 150ml;;Chưa chọn danh mục;1057;25740669.78;0.3549;105.7;3627;34;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/898863_1765802675558.jpg?imageView2/1/w/300/h/300
1947;LANEIGE Mặt nạ môi Lip Sleeping Mask Mini 3g;;Chưa chọn danh mục;1055;3097097.95;0.0699;105.5;878;8;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/692084_1754365907716.jpg?imageView2/1/w/300/h/300
1472;COMPLIMENT Sữa rửa mặt No Problem 200ml - Hồng;;Chưa chọn danh mục;830;18052986.7;0.3235;83;0;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/220412_1754366215630.jpg?imageView2/1/w/300/h/300
QT26;VELLA Kem cổ NECK Cream 1ml;;Chưa chọn danh mục;536;500000;1;53.6;224;4;0;0;46211.50729166667;https://res.bigseller.pro/sku/images/merchantsku/944484/222887_1786086768609.jpg?imageView2/1/w/300/h/300
QT07;CETAPHIL Sữa Rửa Mặt Oily Skin Cleanser Cho Da Dầu - 5ml;;Chưa chọn danh mục;515;400000;1;51.5;95;1;0;0;46211.50729166667;https://res.bigseller.pro/sku/images/merchantsku/944484/729809_1786362097699.jpg?imageView2/1/w/300/h/300
2461;TESORI D'ORIENTE Sữa tắm nước hoa gói 9ml - #2 Thanh Long;;Chưa chọn danh mục;444;309195.16;0.2536;44.4;65;1;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/306413_1755687689239.jpg?imageView2/1/w/300/h/300
1922;LA SOIRÉE Bông Tẩy Trang 100% Cotton Siêu Mềm Siêu Mịn - 225 Miếng Tròn;;Chưa chọn danh mục;307;2953486.79;0.1514;30.7;66;2;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/574597_1754365723437.jpg?imageView2/1/w/300/h/300
1480;COMPLIMENT Toner 10% Glycolic Acid & Aloe Lô hội - 200ML;;Chưa chọn danh mục;297;9709360;0.3605;29.7;447;15;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/274732_1755687785897.jpg?imageView2/1/w/300/h/300
2367;SIMPLE Nước Tẩy Trang Micellar Cleansing Water - 200ml;;Chưa chọn danh mục;297;1712270.41;0.1244;29.7;212;7;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/160848_1754365818073.jpg?imageView2/1/w/300/h/300
1321;CARYOPHY Mặt nạ Portulaca Mask Sheet 3IN1 22g - 01 miếng;;Chưa chọn danh mục;290;164661.2;0.0339;29;289;9;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/449102_1754366311773.jpg?imageView2/1/w/300/h/300
2039;LRP Kem Chống Nắng Nâng Tông Kiềm Dầu Anthelios XL SPF 50+ PA++++ 50ml ( Mẫu mới XL);;Chưa chọn danh mục;242;10434862.23;0.1458;24.2;65;2;63;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/417624_1754364213772.jpg?imageView2/1/w/300/h/300
2014;LRP SERUM B5 HYALU CONCENTRE - 10ml;;Chưa chọn danh mục;238;9378216.6;0.35359999999999997;23.8;587;24;153;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/889245_1782466792795.jpg?imageView2/1/w/300/h/300
2553;VASELINE Sáp Dưỡng Môi Lip Care KOREA 7g - Rosy Lips Hoa Hồng;;Chưa chọn danh mục;229;1133422.57;0.0799;22.9;0;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/028871_1754366313737.jpg?imageView2/1/w/300/h/300
2460;TESORI D'ORIENTE Sữa tắm nước hoa gói 9ml - #1 Hoa Sen;;Chưa chọn danh mục;207;146964;0.25739999999999996;20.7;0;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/201704_1754364219109.jpg?imageView2/1/w/300/h/300
1886;KEYSHU mặt nạ dưỡng da - 1 Miếng ( Rau Má );;Chưa chọn danh mục;191;455988.79;0.1748;19.1;1106;57;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/255761_1765875426376.jpg?imageView2/1/w/300/h/300
2031;LRP Tẩy trang Micellar Water Ultra Sensitive Skin - 400ml (Trắng);;Chưa chọn danh mục;178;5606232.47;0.0946;17.8;7;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/717157_1754365720535.jpg?imageView2/1/w/300/h/300
1909;Kr.Lab Mặt Nạ Kr.Lab+ B5 EGF Complex Mask 25ml - lẻ 1 miếng;;Chưa chọn danh mục;172;112672.92;0.0664;17.2;904;52;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/031692_1754365626985.jpg?imageView2/1/w/300/h/300
1882;KEYSHU mặt nạ dưỡng da - 1 Miếng ( Hành Tím );;Chưa chọn danh mục;165;198408.4;0.0928;16.5;527;31;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/176159_1765875373134.jpg?imageView2/1/w/300/h/300
1474;COMPLIMENT Sữa rửa mặt No Problem 200ml - Xanh lá;;Chưa chọn danh mục;161;3334753;0.2709;16.1;654;40;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/724916_1754365717784.jpg?imageView2/1/w/300/h/300
1613;DR.SERA Khăn Mặt Nén Cotton Tiệt Trùng UV Mềm Mịn An Toàn Làn Da - Túi (30 cái);;Chưa chọn danh mục;155;-235137.5;-0.6531999999999999;15.5;110;7;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/058282_1754365904596.jpg?imageView2/1/w/300/h/300
2005;LRP Kem Dưỡng Cicaplast Baume B5+ Soothing Repairing Balm - 40ML;;Chưa chọn danh mục;151;2701000;0.0699;15.1;246;16;0;50;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/497540_1754365720522.jpg?imageView2/1/w/300/h/300
2792;Vaseline Sữa Dưỡng Thể Trắng Da Toàn Thân Vaseline Body Lotion 725ml Mẫu Mới - Bảng Mỹ;;Chưa chọn danh mục;145;1516668.91;0.0864;14.5;14;0;0;0;28/04/2026 14:54;https://res.bigseller.pro/sku/images/merchantsku/944484/726708_1787287772057.jpg?imageView2/1/w/300/h/300
1473;COMPLIMENT Sữa rửa mặt No Problem 200ml - Vàng;;Chưa chọn danh mục;140;3114619.6;0.2851;14;729;52;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/482240_1754365718575.jpg?imageView2/1/w/300/h/300
2372;SIMPLE Sữa Rửa Mặt Refreshing Facial Wash - 150ml [Xanh lá];;Chưa chọn danh mục;135;745429.56;0.06849999999999999;13.5;142;10;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/106789_1787289379447.jpg?imageView2/1/w/300/h/300
1615;DR.SERA Khăn Tắm Nén Cotton Tiệt Trùng UV Mềm Mịn An Toàn Với Mọi Làn Da - 1 Khăn;;Chưa chọn danh mục;128;1203319.12;0.36060000000000003;12.8;1;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/143497_1781534797520.jpg?imageView2/1/w/300/h/300
1857;JOHNSON'S Sữa tắm gội Baby Top-To-Toe Hair & Body (Vàng) - 100ml;;Chưa chọn danh mục;110;3710290.73;0.5145000000000001;11;89;8;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/030503_1754361503374.jpg?imageView2/1/w/300/h/300
1887;KEYSHU mặt nạ dưỡng da - 1 Miếng ( Vitamin C );;Chưa chọn danh mục;110;247068.9;0.1479;11;284;25;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/874816_1765875748632.jpg?imageView2/1/w/300/h/300
1298;BNBG Mặt Nạ Dưỡng Da Vita Tea Tree Healing Face Mask Pack 30ml - Xanh lá đậm;;Chưa chọn danh mục;105;80423.15;0.0444;10.5;0;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/227533_1754366305609.jpg?imageView2/1/w/300/h/300
1552;DERMAXILIC Kem ngày Dermaxilic B5 Tone up cream  - 50ml;;Chưa chọn danh mục;103;674572.9;0.048600000000000004;10.3;0;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/039048_1778121897307.jpg?imageView2/1/w/300/h/300
1471;COMPLIMENT Sữa rửa mặt No Problem 200ml - Cam;;Chưa chọn danh mục;100;1769733;0.2799;10;563;56;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/663436_1754365626082.jpg?imageView2/1/w/300/h/300
1945;LANEIGE Mặt nạ môi Lip Sleeping Mask EX 20g;;Chưa chọn danh mục;100;1175263;0.061200000000000004;10;30;3;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/632236_1754365820225.jpg?imageView2/1/w/300/h/300
2371;SIMPLE Sữa rửa mặt Purifying Gel Wash 150ml [Xanh dương];;Chưa chọn danh mục;94;619922.96;0.0808;9.4;10;1;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/360736_1754365721435.jpg?imageView2/1/w/300/h/300
2801;JM Solution Derma care vita relax jelly mask viên thuốc - Đỏ;;Chưa chọn danh mục;90;360000;0.8;9;4;0;0;0;29/04/2026 14:32;https://res.bigseller.pro/sku/images/merchantsku/944484/362642_1777448043945.jpg?imageView2/1/w/300/h/300
2377;SKIN1004 Kem chống nắng Madagascar Centella Air-Fit SunCream Plus - 20ml (IP04);;Chưa chọn danh mục;89;535516.16;0.1067;8.9;0;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/576560_1755553282917.jpg?imageView2/1/w/300/h/300
1980;LOREAL Nước Tẩy Trang Revitalift Crystal Purifying Micellar Water [Xám] - 95ml;;LOREAL;85;1000131.04;0.4372;8.5;49;5;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/702311_1788144582501.jpg?imageView2/1/w/300/h/300
2561;VASELINE Son Dưỡng Lip Therapy Thỏi 4.8g - Original;;Chưa chọn danh mục;84;420000;0.1;8.4;0;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/330610_1754366313693.jpg?imageView2/1/w/300/h/300
2562;VASELINE Son Dưỡng Lip Therapy Thỏi 4.8g - Rosy Lips;;Chưa chọn danh mục;84;420000;0.1;8.4;0;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/338320_1754365909762.jpg?imageView2/1/w/300/h/300
2590;VICHY Kem dưỡng chống lão hóa Liftactiv Collagen Specialist - 15ML	( ĐÊM );;Chưa chọn danh mục;84;459689.79;0.0875;8.4;1;0;0;0;13/04/2026 21:53;https://res.bigseller.pro/sku/images/merchantsku/944484/358383_1755687689544.jpg?imageView2/1/w/300/h/300
