Link hình ảnh;Mã SKU;Tên;Cân nặng(g);Chiều dài(cm);Chiều rộng(cm);Chiều cao(cm);Tên kho;Khu vực kho;Vị trí;Tổng số;Đơn hàng đã khóa;Toàn bộ kho khả dụng;Dự trữ chương trình;Đang vận tải;Tổng giá vốn hàng đang vận tải;Cảnh báo tồn kho;Dự báo bán hàng hàng ngày;Dự kiến số ngày có thể bán;Giá vốn bình quân gia quyền;Tổng giá vốn;Trạng thái bán hàng;Ngành hàng cấp 1;Ngành hàng cấp 2;Ngành hàng cấp 3;Loại SKU;Chú thích
https://res.bigseller.pro/sku/images/merchantsku/944484/636552_1788862197457.jpg?imageView2/1/w/300/h/300;QT37;FRESH & CARE Dung dịch vệ sinh phụ nữ Odor Fresh+ - 250ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;1;0;1;0;0;0.00;0;--;--;0.00;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/277888_1788862173111.jpg?imageView2/1/w/300/h/300;QT36;FRESH & CARE Dung dịch vệ sinh phụ nữ Odor Fresh+ - 150ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;--;--;0.00;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
;3171;Chờ để thêm Mã SKU khác 1;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;--;--;0.00;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
;3170;Chờ để thêm Mã SKU khác 2;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;--;--;0.00;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/844650_1788859163338.jpg?imageView2/1/w/300/h/300;3169;NATURIE Gel dưỡng ẩm chiết xuất từ hạt ý dĩ Skin Conditioning - 180g;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;3;0;3;0;0;0.00;0;0.00;--;113163.64;339490.92;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/648095_1788841691893.jpg?imageView2/1/w/300/h/300;3168;CASMARA Tinh chất giảm nám, làm sáng ban đêm Lightening Clarifying Concentrated Serum - 30ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;0.00;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/326323_1788776451950.jpg?imageView2/1/w/300/h/300;3167;HISTO Mặt nạ dưỡng trắng da Lightening Cream Mask - 250g;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;1.00;0;297538.46;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/441645_1788776398114.jpg?imageView2/1/w/300/h/300;3166;AVENE Kem Dưỡng Làm Mờ Nếp Nhăn Hyaluron Activ B3 Cell Renewal Aqua Cream-In-Gel - 50ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;0.00;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/735771_1788755238608.jpg?imageView2/1/w/300/h/300;3165;LOREAL Dầu Xả Giảm Rụng Tóc Paris Full Resist Detangling Conditioner - 80m;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;0.00;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
https://res.bigseller.pro/sku/images/merchantsku/944484/055252_1788755234525.jpg?imageView2/1/w/300/h/300;3164;LOREAL Dầu Gội Paris Full Resist Purifying Shampoo - 80ml;0.00;0.00;0.00;0.00;VIE GROUP HCM;Default Piling Area;Default Shelf;0;0;0;0;0;0.00;0;0.00;--;0.00;0.00;Còn hàng;Chưa chọn danh mục;;;Single SKU;
